Name,Original_price,Offer,Final_price,Distance,Rating,Number of Rating,Summary
OYO 958 Hotel Greenwood Inn,₹2026,40% off,₹1216,2.1 km,3.5 ,(426 Ratings),Good
Capital O 3246 The Bouvice,₹3206,40% off,₹1924,3.8 km,4.4 ,(526 Ratings),Very Good
OYO 10522 Varcity Emerald,₹1690,40% off,₹1014,1.0 km,4.1 ,(469 Ratings),Very Good
OYO Home 42372 Elegant Stay Hsr Layout Sector-6,₹1690,40% off,₹1014,2.4 km,4.3 ,(656 Ratings),Very Good
Capital O 11148 Amethyst Business Hotel,₹3551,40% off,₹2131,2.9 km,4.5 ,(1758 Ratings),Excellent
OYO 8252 Aayush Corporate Stays,₹2850,40% off,₹1710,3.8 km,3.1 ,(211 Ratings),Fair
OYO 44601 Akthar Comforts,₹1690,40% off,₹1014,3.7 km,3.4 ,(337 Ratings),Fair
Capital O 3740 Golden Sands,₹1874,46% off,₹1014,4.2 km,3.7 ,(155 Ratings),Good
OYO 374 Apartment near Fortis Hospital Deluxe,₹2101,40% off,₹1261,1.9 km,NEW,,
OYO 24259 Hotel Blue Inn,₹1690,40% off,₹1014,1.6 km,4.0 ,(710 Ratings),Very Good
OYO 37042 Lavish Stay HSR Layout,₹2540,40% off,₹1524,3.5 km,4.4 ,(1327 Ratings),Very Good
OYO 13933 Varcity Pearl,₹2262,40% off,₹1357,3.9 km,4.2 ,(1550 Ratings),Very Good
OYO 71828 Hotel Guru,₹1680,40% off,₹1008,1.5 km,NEW,,
Capital O 69058 Sapphire Suites 2,₹1690,40% off,₹1014,2.5 km,4.1 ,(472 Ratings),Very Good
"OYO Home 61399 Luxurious 1-BHK Sector 7, Hsr Layout",₹2410,40% off,₹1446,3.9 km,4.5 ,(326 Ratings),Excellent
Capital O 71764 Bangalore Comforts,₹1690,40% off,₹1014,2.5 km,NEW,,
OYO 18680 Olivia Comforts,₹2553,40% off,₹1532,4.1 km,4.4 ,(596 Ratings),Very Good
OYO 63230 Exotica Hotels,₹1690,40% off,₹1014,1.0 km,4.4 ,(467 Ratings),Very Good
OYO 71425 Sai Luxuria ,₹1587,40% off,₹952,1.9 km,NEW,,
Capital O 69948 Canna Ngv Hotel,₹2378,40% off,₹1427,4.2 km,4.0 ,(186 Ratings),Very Good
OYO 28067 Shree Comforts,₹1690,40% off,₹1014,2.2 km,4.0 ,(347 Ratings),Very Good
OYO 9439 Sri Sai Comforts,₹2026,40% off,₹1216,2.8 km,3.9 ,(243 Ratings),Good
OYO 37041 Elegant Stay HSR Club Road,₹2887,40% off,₹1732,3.5 km,4.3 ,(492 Ratings),Very Good
OYO 436 Emirates Suites,₹2273,40% off,₹1364,2.8 km,3.6 ,(415 Ratings),Good
Capital O 5379 The Roy Grand Inns Deluxe,₹4365,40% off,₹2619,3.8 km,4.2 ,(513 Ratings),Very Good
Collection O 12684 Compact Green View,₹1778,46% off,₹960,4.6 km,4.3 ,(3090 Ratings),Very Good
OYO 41402 Luxurious Villa Opp. HSR Club,₹2792,40% off,₹1675,3.9 km,3.5 ,(185 Ratings),Good
Capital O 14972 Hotel Ekaa,₹2707,40% off,₹1624,4.1 km,4.5 ,(1454 Ratings),Excellent
Collection O 30018 Ramee Strand Electronic City,₹2641,40% off,₹1585,5.3 km,4.3 ,(3692 Ratings),Very Good
OYO Townhouse 104 Koramangala Maharaja Signal,₹3248,40% off,₹1949,3.9 km,4.4 ,(1705 Ratings),Very Good
OYO 45366 Elite Stay HSR Club,₹3675,40% off,₹2205,3.6 km,4.3 ,(542 Ratings),Very Good
SPOT ON 48782 Mmr Castle,₹1690,40% off,₹1014,4.5 km,3.5 ,(209 Ratings),Good
OYO Townhouse 006 Koramangala Sony Signal,₹5902,52% off,₹2815,4.1 km,4.3 ,(732 Ratings),Very Good
OYO 68624 Sm Suits ,₹2106,40% off,₹1264,2.2 km,4.4 ,(454 Ratings),Very Good
OYO 62942 The L I T Hotel,₹1482,40% off,₹889,2.9 km,3.1 ,(297 Ratings),Fair
OYO 49293 Hotel White Walkers,₹1531,40% off,₹919,4.4 km,4.2 ,(289 Ratings),Very Good
Capital O 68975 Ashrya Comforts Deluxe,₹2242,40% off,₹1345,3.3 km,4.3 ,(241 Ratings),Very Good
OYO 9682 Hotel Plaza Heights,₹1922,47% off,₹1014,2.3 km,4.8 ,(118 Ratings),Excellent
OYO Townhouse 047 Kanakpura Road,₹2727,40% off,₹1636,5.6 km,4.4 ,(2465 Ratings),Very Good
Collection O 50090 Ramanashree Brunton,₹2327,40% off,₹1396,7.2 km,4.2 ,(2181 Ratings),Very Good
OYO 67007 Manyu Inn,₹2746,40% off,₹1648,5.4 km,4.3 ,(242 Ratings),Very Good
OYO 11176 Hotel Tap Gold Crest,₹1690,40% off,₹1014,6.1 km,4.0 ,(812 Ratings),Very Good
OYO 26708 Sky Palace,₹2070,40% off,₹1242,4.7 km,3.2 ,(206 Ratings),Fair
OYO 25121 Bns Lodge,₹1690,40% off,₹1014,5.5 km,4.1 ,(388 Ratings),Very Good
