Name,Original_price,Offer,Final_price,Distance,Rating,Number_of_Rating,Summary,Location,City
OYO 22085 Raj Banjara White House,2459.0,32.0,1677.0,1.7,4.4,201.0,Very Good,Banjara Hills,Hyderabad
Collection O 42514 Venkat Nagar,3158.0,32.0,2153.0,1.6,4.4,879.0,Very Good,Banjara Hills,Hyderabad
Capital O 44354 Jubilee Banjara Suites,1778.0,32.0,1213.0,1.1,4.4,1258.0,Very Good,Banjara Hills,Hyderabad
OYO 35487 Hotel Meena Grand,2090.0,32.0,1425.0,4.0,4.0,575.0,Very Good,Banjara Hills,Hyderabad
OYO 16018 Rainbow Saphire,2607.0,32.0,1777.0,4.6,4.7,978.0,Excellent,Banjara Hills,Hyderabad
Collection O 46198 New Sree Krishna,3964.0,32.0,2703.0,6.1,3.9,989.0,Good,Banjara Hills,Hyderabad
OYO 14224 Happy Guest house,2373.0,32.0,1618.0,1.8,4.6,448.0,Excellent,Banjara Hills,Hyderabad
OYO 62547 Dream Connect Stays,1941.0,32.0,1324.0,0.6,4.3,267.0,Very Good,Banjara Hills,Hyderabad
OYO 11376 Golden Park,2205.0,45.0,1212.0,5.3,4.4,1570.0,Very Good,Banjara Hills,Hyderabad
OYO 11316 Athithi Inn,2178.0,38.0,1348.0,4.8,3.3,697.0,Fair,Banjara Hills,Hyderabad
OYO 10272 Hotel Ruma,1777.0,32.0,1212.0,4.2,4.2,488.0,Very Good,Banjara Hills,Hyderabad
OYO 18725 Sr Grand,1910.0,32.0,1303.0,3.3,4.4,294.0,Very Good,Banjara Hills,Hyderabad
OYO 18302 Pride Banjara,2260.0,32.0,1541.0,1.1,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
OYO 983 Hotel Surya Residency,2811.0,32.0,1917.0,3.2,4.2,264.0,Very Good,Banjara Hills,Hyderabad
Capital O 46832 Gaayatri Residency Deluxe,2098.0,32.0,1431.0,4.1,4.8,644.0,Excellent,Banjara Hills,Hyderabad
OYO 4025 Hotel Meredian Orchid,1865.0,35.0,1212.0,2.7,4.1,558.0,Very Good,Banjara Hills,Hyderabad
OYO Townhouse 045 Lakdi ka Pul,5129.0,32.0,3497.0,4.4,4.3,1934.0,Very Good,Banjara Hills,Hyderabad
OYO 41751 Hotel Sabharwal,1416.0,32.0,966.0,7.2,4.2,786.0,Very Good,Banjara Hills,Hyderabad
OYO 47332 Hotel Dolphin,2509.0,32.0,1711.0,4.2,4.4,279.0,Very Good,Banjara Hills,Hyderabad
OYO 30744 The  Gate,2140.0,32.0,1459.0,3.4,4.3,440.0,Very Good,Banjara Hills,Hyderabad
OYO 37906 New Asian Lodge,2420.0,32.0,1650.0,4.0,3.2,349.0,Fair,Banjara Hills,Hyderabad
OYO 26562 Dazzle Stays,1730.0,42.0,1010.0,6.7,3.9,371.0,Good,Banjara Hills,Hyderabad
SilverKey Executive Stays 27773 IAS Colony,1639.0,40.0,991.0,2.9,3.8,2195.0,Good,Banjara Hills,Hyderabad
OYO 1410 Country Club Begumpet,4417.0,32.0,3012.0,5.9,3.6,366.0,Good,Banjara Hills,Hyderabad
OYO 22907 Hotel Holiday Deluxe,2407.0,32.0,1642.0,5.9,4.5,393.0,Excellent,Banjara Hills,Hyderabad
OYO 47727 S Grand,1427.0,32.0,973.0,4.6,4.4,360.0,Very Good,Banjara Hills,Hyderabad
Capital O 6422 Luxor Park,2737.0,32.0,1867.0,7.1,4.5,1914.0,Excellent,Banjara Hills,Hyderabad
OYO 9302 Hotel Baseraa Inn,2081.0,32.0,1419.0,6.8,4.5,170.0,Excellent,Banjara Hills,Hyderabad
OYO 8941 Hotel Golden Leaves,2449.0,32.0,1670.0,6.7,4.4,728.0,Very Good,Banjara Hills,Hyderabad
OYO Flagship 14348 Apollo Hospital,2746.0,44.0,1525.0,3.6,4.3,1422.0,Very Good,Banjara Hills,Hyderabad
OYO 11919 Dock Inn,2225.0,32.0,1517.0,7.9,4.3,98.0,Very Good,Banjara Hills,Hyderabad
Capital O 35958 Hotel Lake View Deluxe,2030.0,32.0,1384.0,4.5,4.0,3011.0,Very Good,Banjara Hills,Hyderabad
OYO 18454 Hallmark Inn Begumpet,2390.0,58.0,1010.0,6.5,4.7,239.0,Excellent,Banjara Hills,Hyderabad
Collection O 401 Yosufguda Ameerpet,2310.0,32.0,1575.0,3.9,3.9,3161.0,Good,Banjara Hills,Hyderabad
OYO 16061 Hotel Holly Hock,2601.0,32.0,1774.0,5.5,4.6,716.0,Excellent,Banjara Hills,Hyderabad
OYO 2840 Kanha Grand,1481.0,32.0,1010.0,4.2,4.1,542.0,Very Good,Banjara Hills,Hyderabad
OYO 13746 Mint Leaves Deluxe,2492.0,32.0,1699.0,4.2,4.0,494.0,Very Good,Banjara Hills,Hyderabad
OYO Home 60380 Primrose Cottage Rethibowli,2250.0,32.0,1534.0,2.6,3.8,86.0,Good,Banjara Hills,Hyderabad
OYO Flagship 23191 Hotel Raj Madan Ameerpet Saver,1641.0,41.0,961.0,2.4,3.8,3210.0,Good,Banjara Hills,Hyderabad
OYO 65324 Hotel Shyam,1140.0,32.0,778.0,6.2,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
OYO 33412 Spacious Stay Qutub Shahi Tomb,1796.0,32.0,1225.0,6.6,4.4,360.0,Very Good,Banjara Hills,Hyderabad
OYO 674 Hotel Manar Luxury Suites,1449.0,32.0,988.0,3.8,4.5,386.0,Excellent,Banjara Hills,Hyderabad
OYO 28637 Gokul Grand,2142.0,32.0,1461.0,5.9,4.7,1176.0,Excellent,Banjara Hills,Hyderabad
OYO 35467 Shiridi Residency,1403.0,32.0,957.0,6.9,4.7,815.0,Excellent,Banjara Hills,Hyderabad
OYO 46058 Pleasant Stay Near Moosapet Metro Station,2444.0,32.0,1666.0,6.5,4.5,874.0,Excellent,Banjara Hills,Hyderabad
OYO Flagship 15391 Mehdipatnam,2121.0,43.0,1212.0,5.1,4.5,5342.0,Excellent,Banjara Hills,Hyderabad
OYO 13251 Hotel Three Castles Deluxe,1779.0,32.0,1213.0,6.6,4.0,857.0,Very Good,Banjara Hills,Hyderabad
OYO 24204 Nav Bharath Residency Deluxe,1777.0,32.0,1212.0,7.8,4.4,423.0,Very Good,Banjara Hills,Hyderabad
Capital O 23543 Hotel Vaishnavi,2332.0,32.0,1590.0,7.0,4.5,2574.0,Excellent,Banjara Hills,Hyderabad
OYO 600 Hotel Skyhy,2450.0,32.0,1671.0,5.0,4.1,589.0,Very Good,Banjara Hills,Hyderabad
Capital O 29894 Royal Emirates,2835.0,32.0,1933.0,2.9,4.7,1845.0,Excellent,Banjara Hills,Hyderabad
OYO 6749 The Royal Nest,2346.0,32.0,1600.0,6.6,4.0,298.0,Very Good,Banjara Hills,Hyderabad
OYO 37946 Hotel Sky Blue,2059.0,32.0,1404.0,1.0,3.8,65.0,Good,Banjara Hills,Hyderabad
Collection O 44177 Patrika Nagar,3118.0,32.0,2126.0,7.7,4.5,1571.0,Excellent,Banjara Hills,Hyderabad
OYO 7552 Hotel Sky Grand,2546.0,32.0,1736.0,6.3,4.4,380.0,Very Good,Banjara Hills,Hyderabad
OYO 10139 Hotel Palak Residency,2003.0,39.0,1212.0,7.1,3.6,537.0,Good,Banjara Hills,Hyderabad
OYO 29928 Royal Emirates Banjara,1481.0,32.0,1010.0,3.0,4.6,865.0,Excellent,Banjara Hills,Hyderabad
Capital O 9003 Deccan Inn Deluxe,2830.0,32.0,1930.0,7.9,4.8,3290.0,Excellent,Banjara Hills,Hyderabad
OYO 16857 Hotel Jp Plaza Deluxe,2350.0,32.0,1603.0,6.2,4.4,381.0,Very Good,Banjara Hills,Hyderabad
OYO Flagship 15009 Secunderabad,1808.0,44.0,1010.0,5.8,3.9,3654.0,Good,Banjara Hills,Hyderabad
OYO Townhouse 074 Nampally,3173.0,35.0,2074.0,6.1,4.1,3089.0,Very Good,Banjara Hills,Hyderabad
Capital O 14244 Loya Legend Deluxe,2371.0,32.0,1617.0,6.9,4.2,1501.0,Very Good,Banjara Hills,Hyderabad
OYO 2006 Apartment Begumpet,1916.0,32.0,1306.0,5.9,4.3,342.0,Very Good,Banjara Hills,Hyderabad
OYO 15141 Townvilla Guest House,2081.0,42.0,1212.0,5.5,4.5,545.0,Excellent,Banjara Hills,Hyderabad
OYO Townhouse 164 Model Colony,2415.0,32.0,1647.0,6.7,4.4,1643.0,Very Good,Banjara Hills,Hyderabad
OYO 11310 sri supraja pride,1529.0,34.0,1010.0,6.6,4.4,437.0,Very Good,Banjara Hills,Hyderabad
Capital O 37516 Apple Tree Inn,3344.0,32.0,2280.0,9.6,4.4,2104.0,Very Good,Banjara Hills,Hyderabad
Silverkey Executive Stays 36718 Scanda Residency,1998.0,32.0,1363.0,6.2,4.4,1395.0,Very Good,Banjara Hills,Hyderabad
OYO 46837 Vivid Stay Near Sunshine Hospital,1777.0,32.0,1212.0,6.5,4.5,222.0,Excellent,Banjara Hills,Hyderabad
Capital O 18592 M Hotel Deluxe,2508.0,32.0,1710.0,8.6,4.3,2399.0,Very Good,Banjara Hills,Hyderabad
OYO 11966 Grand Euro Park Hotel,2486.0,32.0,1695.0,7.0,3.5,638.0,Good,Banjara Hills,Hyderabad
OYO 35362 My Place S R Nagar,2215.0,32.0,1510.0,3.3,4.6,843.0,Excellent,Banjara Hills,Hyderabad
OYO 1074 Valley View Apartments,2209.0,32.0,1507.0,0.5,4.0,430.0,Very Good,Banjara Hills,Hyderabad
OYO 18529 Hallmark Inn Jubilee Hills,2213.0,44.0,1237.0,3.8,3.4,127.0,Fair,Banjara Hills,Hyderabad
OYO Townhouse 034 Hitech City Road,3874.0,43.0,2226.0,9.3,4.0,2127.0,Very Good,Banjara Hills,Hyderabad
OYO Home 48096 Jublee Homes,1802.0,32.0,1229.0,2.2,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
OYO 45408 Hotel Ambassador,2715.0,32.0,1852.0,8.8,4.6,1069.0,Excellent,Banjara Hills,Hyderabad
OYO Townhouse 064 Secunderabad,4994.0,32.0,3405.0,6.1,4.4,3057.0,Very Good,Banjara Hills,Hyderabad
SPOT ON 47525 Deccan Lodge SPOT,1161.0,32.0,792.0,3.2,4.3,605.0,Very Good,Banjara Hills,Hyderabad
OYO 42887 Tenneti Towers,1867.0,32.0,1273.0,6.0,4.6,33.0,Excellent,Banjara Hills,Hyderabad
Flagship 22279 Kavuri Hills Madhapur,1871.0,32.0,1276.0,7.2,3.5,4112.0,Good,Banjara Hills,Hyderabad
Capital O 45597 Hotel Riya Grand Deluxe,3363.0,32.0,2293.0,2.9,4.8,2628.0,Excellent,Banjara Hills,Hyderabad
SPOT ON 24885 Royal Plaza SPOT,1777.0,32.0,1212.0,4.9,3.6,779.0,Good,Banjara Hills,Hyderabad
OYO 19460 Hotel Pearl City,1430.0,32.0,975.0,7.5,3.1,204.0,Fair,Banjara Hills,Hyderabad
OYO 62254 Premium Stay Hitech City,2134.0,32.0,1455.0,9.0,4.4,1289.0,Very Good,Banjara Hills,Hyderabad
Silverkey Executive Stays 22453 Himayat Nagar Circle,1838.0,32.0,1253.0,5.6,4.1,1387.0,Very Good,Banjara Hills,Hyderabad
OYO 17206 Maanne Hospitality Services,1830.0,32.0,1248.0,4.1,4.2,81.0,Very Good,Banjara Hills,Hyderabad
OYO 30652 Pleasant Stay Erragadda,1964.0,32.0,1339.0,7.2,4.5,294.0,Excellent,Banjara Hills,Hyderabad
OYO 4376 Imax Inn Deluxe,1804.0,32.0,1230.0,6.6,4.3,478.0,Very Good,Banjara Hills,Hyderabad
OYO Townhouse 005 Jubilee Hills,4044.0,36.0,2594.0,4.7,4.2,1064.0,Very Good,Banjara Hills,Hyderabad
OYO 37499 Saba Service Apartments Deluxe,2202.0,32.0,1501.0,9.5,4.6,330.0,Excellent,Banjara Hills,Hyderabad
OYO 29230 Ik London Residency,2610.0,32.0,1780.0,4.0,4.3,841.0,Very Good,Banjara Hills,Hyderabad
OYO 7707 Corpo Suites,6592.0,32.0,4495.0,7.2,3.1,511.0,Fair,Banjara Hills,Hyderabad
OYO 42106 Peaceful Stay Qutub Sahi Tomb,1786.0,32.0,1218.0,8.3,4.5,634.0,Excellent,Banjara Hills,Hyderabad
OYO 13671 Qualia,2202.0,32.0,1501.0,7.9,4.4,496.0,Very Good,Banjara Hills,Hyderabad
OYO 15928 Hotel Midtown Deluxe,2686.0,34.0,1782.0,5.6,4.1,189.0,Very Good,Banjara Hills,Hyderabad
OYO 9960 Kubeera Palace,3259.0,32.0,2222.0,7.4,4.5,855.0,Excellent,Banjara Hills,Hyderabad
OYO 11321 Hotel Goutham Residency,1797.0,33.0,1212.0,1.5,3.8,278.0,Good,Banjara Hills,Hyderabad
SilverKey Executive Stays 28060 JV Colony,1932.0,32.0,1318.0,9.6,4.0,1433.0,Very Good,Banjara Hills,Hyderabad
OYO 30151 Golden Hive,1862.0,32.0,1270.0,8.1,4.3,761.0,Very Good,Banjara Hills,Hyderabad
OYO 14194 Hotel Deccan Lodging and Boarding,1986.0,32.0,1354.0,4.3,3.7,277.0,Good,Banjara Hills,Hyderabad
OYO 12237 Luxury Villas,2157.0,32.0,1471.0,6.5,3.7,144.0,Good,Banjara Hills,Hyderabad
OYO 1405 Hotel Majestic International,1900.0,32.0,1296.0,8.4,3.5,299.0,Good,Banjara Hills,Hyderabad
OYO 16432 Sri Rama Inn,2271.0,32.0,1549.0,8.7,3.8,665.0,Good,Banjara Hills,Hyderabad
OYO 11079 Hotel Prestige,2059.0,32.0,1404.0,8.7,4.6,1351.0,Excellent,Banjara Hills,Hyderabad
OYO Townhouse 112 Madhapur,3369.0,32.0,2297.0,8.6,4.2,2660.0,Very Good,Banjara Hills,Hyderabad
OYO 44275 Three Castles Executive,1166.0,32.0,795.0,6.6,4.4,515.0,Very Good,Banjara Hills,Hyderabad
OYO 30750 M R Residency,1777.0,32.0,1212.0,7.5,3.1,190.0,Fair,Banjara Hills,Hyderabad
OYO 15739 Hotel Grand Brundavan,2934.0,32.0,2001.0,8.3,4.4,1001.0,Very Good,Banjara Hills,Hyderabad
OYO Flagship 18341 Metro International,1481.0,32.0,1010.0,8.1,4.3,2328.0,Very Good,Banjara Hills,Hyderabad
OYO 9386 Hotel Mannys Plaza,2157.0,32.0,1471.0,6.6,3.2,252.0,Fair,Banjara Hills,Hyderabad
OYO Flagship 30254 Neknampur,1481.0,32.0,1010.0,7.3,4.3,1790.0,Very Good,Banjara Hills,Hyderabad
OYO 16485 Ans Cyber Castle,2491.0,32.0,1699.0,8.2,3.4,246.0,Fair,Banjara Hills,Hyderabad
OYO 61057 Venkateswara Nest Hotel,1777.0,32.0,1212.0,6.6,3.9,152.0,Good,Banjara Hills,Hyderabad
OYO 47785 Hotel Pariwar Inn,1392.0,32.0,949.0,6.1,3.8,287.0,Good,Banjara Hills,Hyderabad
OYO 26164 Supraja Cyber View Deluxe,2970.0,32.0,2025.0,9.1,4.2,237.0,Very Good,Banjara Hills,Hyderabad
SilverKey Executive Stays 20008 Madhapur,2460.0,41.0,1453.0,8.0,4.0,996.0,Very Good,Banjara Hills,Hyderabad
Capital O 918 Hotel Nera Regency,2711.0,32.0,1849.0,7.4,4.4,909.0,Very Good,Banjara Hills,Hyderabad
Collection O 19581 Hotel Raj Classic MG Road,2512.0,60.0,1003.0,9.7,3.6,4509.0,Good,Banjara Hills,Hyderabad
OYO 795 Samudra Inn Hotel,1785.0,32.0,1217.0,7.7,3.7,219.0,Good,Banjara Hills,Hyderabad
OYO 42129 Hotel Swiss Legrand Deluxe,1777.0,32.0,1212.0,7.9,3.6,76.0,Good,Banjara Hills,Hyderabad
OYO 35755 Sagar Grand,1976.0,32.0,1348.0,7.3,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
OYO 10595 Hotel Mirras,2596.0,32.0,1770.0,9.6,4.2,1346.0,Very Good,Banjara Hills,Hyderabad
OYO 49253 Raja Residency,1140.0,32.0,778.0,6.6,4.5,162.0,Excellent,Banjara Hills,Hyderabad
OYO 41679 Sri Balaji Grand Saver,1288.0,32.0,878.0,7.9,3.6,395.0,Good,Banjara Hills,Hyderabad
OYO Flagship 22412 Hotel Sai Prakash Nampally,1910.0,53.0,895.0,6.5,3.6,5335.0,Good,Banjara Hills,Hyderabad
OYO 63506 Dhana Sri Residency,2162.0,32.0,1474.0,6.3,3.6,36.0,Good,Banjara Hills,Hyderabad
OYO 14500 Hotel Hill View Guest House,3517.0,54.0,1605.0,9.6,4.5,116.0,Excellent,Banjara Hills,Hyderabad
OYO Flagship 35993 Puppalaguda,1481.0,32.0,1010.0,9.7,4.2,650.0,Very Good,Banjara Hills,Hyderabad
OYO 11429 Hotel Tokyo Japan Comforts,1481.0,32.0,1010.0,5.0,3.7,116.0,Good,Banjara Hills,Hyderabad
OYO 36282 Namo Suites Deluxe,2659.0,32.0,1813.0,8.3,4.0,285.0,Very Good,Banjara Hills,Hyderabad
OYO 49130 Ravindra Nest Inn Hotel,1777.0,32.0,1212.0,9.4,3.2,286.0,Fair,Banjara Hills,Hyderabad
Capital O 1780 Hotel Belsons Taj Mahal,2530.0,32.0,1725.0,9.2,4.3,2775.0,Very Good,Banjara Hills,Hyderabad
OYO 15140 Hotel Priya Residency,1532.0,34.0,1010.0,9.5,3.7,325.0,Good,Banjara Hills,Hyderabad
SPOT ON 41322 Prem Residency SPOT,1349.0,32.0,920.0,7.6,3.4,603.0,Fair,Banjara Hills,Hyderabad
OYO 18926 Tourist Krishna Inn,2011.0,37.0,1268.0,9.5,4.6,858.0,Excellent,Banjara Hills,Hyderabad
OYO 46806 Sg Comforts,1481.0,32.0,1010.0,6.5,3.9,348.0,Good,Banjara Hills,Hyderabad
OYO Townhouse 009 Hitech City,3877.0,35.0,2515.0,9.6,4.3,1887.0,Very Good,Banjara Hills,Hyderabad
OYO 16428 Hotel Comfort Inn,2663.0,32.0,1816.0,9.6,4.3,534.0,Very Good,Banjara Hills,Hyderabad
OYO 43619 Sahasra Residency Deluxe,2052.0,32.0,1399.0,9.7,4.1,465.0,Very Good,Banjara Hills,Hyderabad
OYO Townhouse 232 RP Road,3691.0,32.0,2517.0,9.9,4.1,750.0,Very Good,Banjara Hills,Hyderabad
Oyo 36639 Treevana Saver,5954.0,32.0,4060.0,9.9,3.1,510.0,Fair,Banjara Hills,Hyderabad
OYO 7343 Al Shareef Palace,1777.0,32.0,1212.0,9.5,3.8,236.0,Good,Banjara Hills,Hyderabad
SPOT ON 65122 K-inn SPOT,645.0,32.0,440.0,8.8,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
OYO 40854 Corporate Club,1481.0,32.0,1010.0,7.9,3.0,21.0,Fair,Banjara Hills,Hyderabad
OYO 26883 Vasundhara Guest House Saver,1481.0,32.0,1010.0,9.5,4.2,314.0,Very Good,Banjara Hills,Hyderabad
OYO 60834 Kaashyapasa Homes,2370.0,32.0,1616.0,8.8,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
Collection O 30116 Welcome Grand Rani Gunj,1917.0,32.0,1307.0,9.5,3.8,2488.0,Good,Banjara Hills,Hyderabad
OYO 16539 Grand Sandarshini Inn,3205.0,43.0,1821.0,7.2,4.4,56.0,Very Good,Banjara Hills,Hyderabad
OYO 737 Hotel Manny'S Palace,1823.0,32.0,1243.0,9.2,3.2,68.0,Fair,Banjara Hills,Hyderabad
OYO 14501 Hotel Hill View Guest House Begumpet,2087.0,32.0,1423.0,7.8,4.9,299.0,Fabulous,Banjara Hills,Hyderabad
OYO 61858 White Ridge Deluxe,1842.0,32.0,1256.0,9.9,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
OYO 10107 Hotel Ankitha Residency,1658.0,39.0,1010.0,9.8,4.3,57.0,Very Good,Banjara Hills,Hyderabad
OYO 14503 Hotel Hill View Guest House Deluxe,6410.0,32.0,4371.0,5.2,4.8,166.0,Excellent,Banjara Hills,Hyderabad
OYO 63021 Hotel Hill 9,5828.0,32.0,3974.0,3.4,4.3,167.0,Very Good,Banjara Hills,Hyderabad
Capital O 15079 TFCC,9087.0,32.0,6196.0,0.7,4.1,1619.0,Very Good,Banjara Hills,Hyderabad
OYO 11428 Hotel Krishna's Residency,6608.0,32.0,4506.0,4.1,4.4,456.0,Very Good,Banjara Hills,Hyderabad
OYO 39319 Sri Krishna Grand,1481.0,32.0,1010.0,7.3,3.3,166.0,Fair,Banjara Hills,Hyderabad
SPOT ON 48422 Srinidhi Inn SPOT,874.0,32.0,596.0,5.6,3.9,402.0,Good,Banjara Hills,Hyderabad
OYO 39708 Hotel Hill Park Grand,3546.0,32.0,2418.0,3.6,4.0,390.0,Very Good,Banjara Hills,Hyderabad
OYO 63119 Gardenia  Deluxe,1947.0,32.0,1327.0,1.5,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
OYO 47645 Hotel Sai Vinayak Boarding And Lodging,6603.0,32.0,4502.0,7.2,4.2,818.0,Very Good,Banjara Hills,Hyderabad
OYO 9303 Celebrity Skyhy Rooms,3180.0,32.0,2168.0,7.1,3.9,245.0,Good,Banjara Hills,Hyderabad
OYO 22904 Sai Guest House,1994.0,32.0,1360.0,4.8,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
OYO 382 Madhura Inn,6597.0,32.0,4498.0,6.7,3.6,162.0,Good,Banjara Hills,Hyderabad
SPOT ON 48349 Sri Sai Lohith Lodge SPOT,645.0,32.0,440.0,7.1,3.4,350.0,Fair,Banjara Hills,Hyderabad
OYO 44823 Bhasker Residency  Saver,5954.0,32.0,4060.0,7.6,3.2,35.0,Fair,Banjara Hills,Hyderabad
SPOT ON 49255 Hotel New Simran Palace SPOT,874.0,32.0,596.0,8.4,3.7,288.0,Good,Banjara Hills,Hyderabad
Capital O 10594 Hotel Marie Gold,10666.0,32.0,7273.0,8.4,4.1,1807.0,Very Good,Banjara Hills,Hyderabad
OYO 49786 Gokul Guest House Deluxe,7265.0,32.0,4954.0,4.3,3.2,30.0,Fair,Banjara Hills,Hyderabad
OYO 47924 Vaisai Cottage,1481.0,32.0,1010.0,9.7,3.3,303.0,Fair,Banjara Hills,Hyderabad
OYO 22074 Siri Elite,1614.0,37.0,1010.0,9.6,4.4,1056.0,Very Good,Banjara Hills,Hyderabad
SPOT ON 47118 Pummy Lodge SPOT,650.0,32.0,443.0,3.2,3.6,196.0,Good,Banjara Hills,Hyderabad
OYO 36503 Serene Homes Deluxe,2314.0,32.0,1578.0,3.5,4.6,354.0,Excellent,Banjara Hills,Hyderabad
OYO 22681 R Inn,1901.0,47.0,1010.0,4.6,3.6,410.0,Good,Banjara Hills,Hyderabad
SPOT ON 45689 Srikanth Lodge SPOT,731.0,32.0,499.0,4.8,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
OYO 15729 Shells Inn,2417.0,32.0,1648.0,7.5,4.2,131.0,Very Good,Banjara Hills,Hyderabad
OYO 49037 Entco Beccun Designer Hotel,1430.0,32.0,975.0,5.6,4.1,333.0,Very Good,Banjara Hills,Hyderabad
OYO Flagship 26760 Paradise Circle,1481.0,32.0,1010.0,6.2,4.0,1872.0,Very Good,Banjara Hills,Hyderabad
OYO 9795 Hotel Aflah,6658.0,32.0,4540.0,4.8,4.1,190.0,Very Good,Banjara Hills,Hyderabad
OYO 11919 Dock Inn,2225.0,32.0,1517.0,2.7,4.3,98.0,Very Good,Jubilee Hills,Hyderabad
Capital O 15991 Silicon Ville,7195.0,32.0,4906.0,5.2,4.6,1181.0,Excellent,Jubilee Hills,Hyderabad
Capital O 6422 Luxor Park,2737.0,32.0,1867.0,2.4,4.5,1914.0,Excellent,Jubilee Hills,Hyderabad
OYO 19121 V G Guest House Saver,2607.0,32.0,1777.0,2.7,3.7,615.0,Good,Jubilee Hills,Hyderabad
Collection O 42514 Venkat Nagar,3012.0,32.0,2054.0,3.5,4.4,879.0,Very Good,Jubilee Hills,Hyderabad
OYO 47332 Hotel Dolphin,1481.0,32.0,1010.0,0.1,4.4,279.0,Very Good,Jubilee Hills,Hyderabad
OYO 8941 Hotel Golden Leaves,2449.0,32.0,1670.0,3.3,4.4,728.0,Very Good,Jubilee Hills,Hyderabad
OYO Townhouse 034 Hitech City Road,3874.0,43.0,2226.0,4.7,4.0,2127.0,Very Good,Jubilee Hills,Hyderabad
Capital O 9003 Deccan Inn Deluxe,2830.0,32.0,1930.0,3.3,4.8,3290.0,Excellent,Jubilee Hills,Hyderabad
OYO 7571 Madhapur,3832.0,32.0,2613.0,3.9,4.6,276.0,Excellent,Jubilee Hills,Hyderabad
Collection O 44177 Patrika Nagar,3118.0,32.0,2126.0,3.5,4.5,1571.0,Excellent,Jubilee Hills,Hyderabad
Collection O 46198 New Sree Krishna,3964.0,32.0,2703.0,6.4,3.9,989.0,Good,Jubilee Hills,Hyderabad
OYO 6749 The Royal Nest,2346.0,32.0,1600.0,1.9,4.0,298.0,Very Good,Jubilee Hills,Hyderabad
OYO 11609 Sri Sai Residency,1853.0,32.0,1264.0,6.1,3.7,391.0,Good,Jubilee Hills,Hyderabad
OYO 62254 Premium Stay Hitech City,2134.0,32.0,1455.0,4.3,4.4,1289.0,Very Good,Jubilee Hills,Hyderabad
Capital O 14499 Hotel Hill View Guest House Kondapur Deluxe,4984.0,32.0,3398.0,5.3,4.4,670.0,Very Good,Jubilee Hills,Hyderabad
Capital O 44354 Jubilee Banjara Suites Deluxe,1936.0,32.0,1320.0,4.1,4.4,1258.0,Very Good,Jubilee Hills,Hyderabad
OYO Home 62549 Peaceful Stay Banjara Hills,2492.0,32.0,1699.0,4.1,4.3,102.0,Very Good,Jubilee Hills,Hyderabad
OYO Townhouse 265 Begumpet,4161.0,32.0,2837.0,5.6,0.0,0.0,Yet to be summarised,Jubilee Hills,Hyderabad
OYO 14224 Happy Guest house,2323.0,32.0,1584.0,3.3,4.6,448.0,Excellent,Jubilee Hills,Hyderabad
OYO 18725 Sr Grand,2429.0,32.0,1657.0,3.0,4.4,294.0,Very Good,Jubilee Hills,Hyderabad
OYO 7552 Hotel Sky Grand,2449.0,32.0,1670.0,2.1,4.4,380.0,Very Good,Jubilee Hills,Hyderabad
OYO 44149 Globextra,1777.0,32.0,1212.0,7.3,4.5,575.0,Excellent,Jubilee Hills,Hyderabad
OYO 11966 Grand Euro Park Hotel,2046.0,32.0,1395.0,2.4,3.5,638.0,Good,Jubilee Hills,Hyderabad
SilverKey Executive Stays 28060 JV Colony,2246.0,32.0,1531.0,5.5,4.0,1433.0,Very Good,Jubilee Hills,Hyderabad
OYO 49452 Nakshatra ,1789.0,32.0,1220.0,5.5,3.9,340.0,Good,Jubilee Hills,Hyderabad
Capital O 12384 Hotel Serene Majestic Deluxe,3446.0,32.0,2350.0,5.9,4.4,2028.0,Very Good,Jubilee Hills,Hyderabad
Flagship 22279 Kavuri Hills Madhapur,1777.0,32.0,1212.0,2.5,3.5,4112.0,Good,Jubilee Hills,Hyderabad
OYO 33412 Spacious Stay Qutub Shahi Tomb,1796.0,32.0,1225.0,4.9,4.4,360.0,Very Good,Jubilee Hills,Hyderabad
OYO 46058 Pleasant Stay Near Moosapet Metro Station,2444.0,32.0,1666.0,4.8,4.5,874.0,Excellent,Jubilee Hills,Hyderabad
OYO Townhouse 112 Madhapur,3369.0,32.0,2297.0,4.0,4.2,2660.0,Very Good,Jubilee Hills,Hyderabad
OYO 13746 Mint Leaves,2390.0,32.0,1630.0,1.6,4.0,494.0,Very Good,Jubilee Hills,Hyderabad
OYO 42106 Peaceful Stay Qutub Sahi Tomb,1786.0,32.0,1218.0,4.1,4.5,634.0,Excellent,Jubilee Hills,Hyderabad
OYO 983 Hotel Surya Residency,2670.0,32.0,1821.0,4.7,4.2,264.0,Very Good,Jubilee Hills,Hyderabad
